,,,,,,,,,
,,,,,,,,,
1. Quelle rue habitez-vous ? ,,4. Si vous deviez donner 2 mots ou expressions pour décrire votre quartier : ,,,6. Quel est votre lieu préféré dans le quartier ? ,,"9. Selon vous, sur quoi faut-il agir en priorité pour le futur quartier ? ","11. Si vous aviez une baguette magqiue, qu'est ce que vous changeriez, ajouteriez ou supprimeriez ? ",
,,bruyant ,bruit,,,,,,
,,Bruyant ,bruit,,,,,,
,,bruyant ,bruit,,,,,,
,,calme ,calme,,,,,,
,,calme ,calme,,,,,,
,,cité ,Tensions entre les communautés et irrespect,,,,,,
,,Commerçante,tout sur place,,,,,,
,,Communauté,"Mixité, convivialité et solidarité",,,,,,
,,Convivial,"Mixité, convivialité et solidarité",,,,,,
,,Convivial,"Mixité, convivialité et solidarité",,,,,,
,,Convivial,"Mixité, convivialité et solidarité",,,,,,
,,convivial ,"Mixité, convivialité et solidarité",,,,,,
,,danger ,sécurité,,,,,,
,,Dangereux le soir,sécurité,,,,,,
,,dangeureux ,sécurité,,,,,,
,,dangeureux ,sécurité,,,,,,
,,De la merde ,saleté ,,,,,,
,,Dégradé,saleté ,,,,,,
,,déguelasse ,saleté ,,,,,,
,,délinquance ,sécurité,,,,,,
,,désordonné ,saleté ,,,,,,
,,désordre ,saleté ,,,,,,
,,diverse ,"Mixité, convivialité et solidarité",,,,,,
,,diversités de services ,tout sur place,,,,,,
,,Du monde ,"Mixité, convivialité et solidarité",,,,,,
,,Entente,"Mixité, convivialité et solidarité",,,,,,
,,Faire gaffe ,sécurité,,,,,,
,,Festif,"Mixité, convivialité et solidarité",,,,,,
,,ghetto,Ghetto,,,,,,
,,HLM,Ghetto,,,,,,
,,Horrible,désagréable,,,,,,
,,Incompréhsensible,désagréable,,,,,,
,,Incroyable,Agréable et joli,,,,,,
,,Insécurité,sécurité,,,,,,
,,Irrespect,Tensions entre les communautés et irrespect,,,,,,
,,Irrespect,Tensions entre les communautés et irrespect,,,,,,
,,Irrespect,Tensions entre les communautés et irrespect,,,,,,
,,irrespectueux ,Tensions entre les communautés et irrespect,,,,,,
,,laisse tomber ,Tensions entre les communautés et irrespect,,,,,,
,,libre ,Agréable et joli,,,,,,
,,magnifique ,Agréable et joli,,,,,,
,,mal connu ,Agréable et joli,,,,,,
,,mal sécurisé ,sécurité,,,,,,
,,Manque de respect,Tensions entre les communautés et irrespect,,,,,,
,,Mélange,"Mixité, convivialité et solidarité",,,,,,
,,merde ,saleté ,,,,,,
,,Minorités,"Mixité, convivialité et solidarité",,,,,,
,,Mixité,"Mixité, convivialité et solidarité",,,,,,
,,mixité,"Mixité, convivialité et solidarité",,,,,,
,,monde ,"Mixité, convivialité et solidarité",,,,,,
,,Multiculturel,"Mixité, convivialité et solidarité",,,,,,
,,Pas à mon aise,désagréable,,,,,,
,,Pas assez de mélange entre les communautés,Tensions entre les communautés et irrespect,,,,,,
,,Pas assez gai,désagréable,,,,,,
,,Pas assez vert,désagréable,,,,,,
,,pas convivial,désagréable,,,,,,
,,Pas de sécurité,sécurité,,,,,,
,,Pas d'intégration ,Tensions entre les communautés et irrespect,,,,,,
,,pas l'idéal ,désagréable,,,,,,
,,pas propre,saleté ,,,,,,
,,pas propre ,saleté ,,,,,,
,,Pauvre,pauvreté,,,,,,
,,plus comme avant ,mieux avant,,,,,,
,,Poubelle ,saleté ,,,,,,
,,pratique ,tout sur place,,,,,,
,,précaire ,pauvreté,,,,,,
,,Près de la campagne,,,,,,,
,,Propre,Agréable et joli,,,,,,
,,Racisme,Tensions entre les communautés et irrespect,,,,,,
,,sale ,saleté ,,,,,,
,,Saleté,saleté ,,,,,,
,,Saleté,saleté ,,,,,,
,,silencieux ,calme,,,,,,
,,sympa ,Agréable et joli,,,,,,
,,sympa ,Agréable et joli,,,,,,
,,terrifiant,sécurité,,,,,,
,,Tout sur place ,tout sur place,,,,,,
,,Tout sur place ,tout sur place,,,,,,
,,triste ,désagréable,,,,,,
,,vie ,"Mixité, convivialité et solidarité",,,,,,
,,Vivant ,"Mixité, convivialité et solidarité",,,,,,
